Tamanho,Tempo Médio Paralelo (nível 0),Tempo Médio Paralelo (nível 1),Tempo Médio Paralelo (nível 2),Tempo Médio Paralelo (nível 3),Tempo Médio Paralelo (nível 4),Tempo Médio Serial
1000,1.63589,1.92247,0.31484,0.25384,0.29119,0.4263
10000,1.72918,1.11488,1.06029,0.88931,1.28196,1.42527
100000,10.9276,6.62572,5.76381,5.00815,4.73159,16.66374
1000000,121.50909,60.07661,60.26347,51.74325,42.87271,117.19638
10000000,5835.66808,2325.69957,1893.62256,1469.87499,1444.5876,4418.75785
